id,fail size
0,3763
1,3011
2,2905
3,3251
4,1
5,3749
6,3
7,3
8,3
9,3512
10,2
11,3
12,1
13,3823
14,3749
15,1
16,1
17,1
18,3823
19,3829
20,3833
21,3802
22,2
23,1
24,3161
25,3829
26,3823
27,3749
28,1
29,3802
30,1
31,3829
32,3829
33,10
34,10
35,13
36,3749
37,1
38,1
39,1
40,10
41,3838
42,3420
43,3512
44,1
45,1
46,1
47,3512
48,9
49,1
50,2
51,3823
52,3833
53,3235
54,3823
55,3833
56,3852
57,1
58,3833
59,3829
60,3823
61,3
62,3823
63,1
64,1
65,1
66,1
67,3
68,3882
69,7
70,3
71,3512
72,3420
73,3420
74,1
75,9
76,3679
77,3749
78,3833
79,3838
80,3845
81,2
82,2
83,3235
84,1
85,10
86,3601
87,2
88,3838
89,2
90,1
91,3512
92,3829
93,1
94,3833
95,3512
96,3829
97,10
98,3802
99,3
100,3
101,9
102,1
103,3829
104,3833
105,3882
106,9
107,3838
108,3
109,3829
110,3601
111,3833
112,3512
113,3420
114,2
115,2
116,3833
117,1
118,1
119,3838
120,3802
121,2
122,2
123,3823
124,3823
125,3
126,1
127,1
128,1
129,3829
130,3823
131,3823
132,1
133,1
134,3823
135,3749
136,3823
137,3512
138,3512
139,3823
140,3823
141,13
142,13
143,10
144,3829
145,3829
146,3802
147,3802
148,3833
149,1
150,3601
151,10
152,1
153,3845
154,3852
155,3823
156,3823
157,3802
158,1
159,1
160,3749
161,3802
162,3512
163,3601
164,3512
165,3420
166,3749
167,3833
168,3601
169,3749
170,3679
171,3601
172,3829
173,3802
174,3833
175,3838
176,3749
177,3845
178,3845
179,3838
180,3838
181,3512
182,1
183,1
184,3879
185,3749
186,9
187,3679
188,3
189,3829
190,3823
191,3679
192,3829
193,3823
194,3829
195,3823
196,3823
197,3829
198,3869
199,3838
200,1
201,3833
202,10
203,3802
204,3829
205,3325
206,3833
207,3845
208,3
209,3
210,9
211,9
212,9
213,9
214,3420
215,3420
216,3512
217,3076
218,3161
219,3325
220,3235
221,3325
222,3829
223,3601
224,3420
225,3420
226,3601
227,3679
228,3601
229,3601
230,3601
231,3325
232,3802
233,10
234,10
235,1
236,3802
237,3749
238,3024
239,3059
240,3082
241,32
242,3059
243,2998
244,2983
245,8
246,2998
247,8
248,2
249,3043
250,2
251,3011
252,3043
253,3059
254,8
255,8
256,2
257,32
258,32
259,2
260,32
261,32
262,32
263,2983
264,32
265,13
266,32
267,32
268,13
269,13
270,1
271,1
272,2
273,1
274,2983
275,1
276,32
277,2992
278,2988
279,1
280,3043
281,32
282,1
283,1
284,3093
285,3127
286,32
287,32
288,3024
289,1
290,3043
291,4
292,4
293,1
294,13
295,3
296,2
297,13
298,2992
299,3093
300,13
301,1
302,2
303,2
304,1
305,2976
306,32
307,2
308,13
309,4
310,32
311,32
312,1
313,3043
314,2992
315,2988
316,3100
317,3024
318,3043
319,2998
320,2992
321,2988
322,2992
323,13
324,4
325,4
326,2988
327,3059
328,3043
329,8
330,8
331,13
332,3024
333,3043
334,32
335,2988
336,3059
337,3082
338,3043
339,3024
340,13
341,13
342,2998
343,2992
344,32
345,32
346,13
347,32
348,32
349,32
350,32
351,32
352,32
353,3024
354,3043
355,3024
356,2983
357,8
358,4
359,2970
360,32
361,2976
362,2998
363,1
364,1
365,2
366,1
367,2992
368,32
369,32
370,2998
371,2992
372,2
373,2983
374,1
375,2988
376,1
377,8
378,2992
379,3043
380,13
381,32
382,1
383,3869
384,3875
385,1
386,3818
387,1
388,1
389,3763
390,1
391,3728
392,3773
393,3875
394,10
395,3799
396,3763
397,1
398,1
399,1
400,1
401,1
402,3753
403,1
404,1
405,10
406,1
407,3773
408,3788
409,1
410,4
411,4
412,3632
413,3842
414,3773
415,1
416,3799
417,1
418,3773
419,3799
420,3773
421,3788
422,3690
423,1
424,3799
425,3788
426,3882
427,3308
428,3818
429,3818
430,3773
431,3720
432,2
433,1
434,3516
435,3546
436,2
437,3773
438,3690
439,3705
440,10
441,10
442,10
443,3806
444,3788
445,1
446,3806
447,3875
448,3763
449,3773
450,3788
451,3773
452,3806
453,3763
454,3842
455,3842
456,3799
457,10
458,3487
459,3818
460,10
461,3516
462,1
463,3753
464,3799
465,3788
466,10
